minimum_count,embed_size,freeze_type,vocab_size,average_train_time,trainable_params
1,192,TRUE,13332,0.056757304,6135060
1,192,FALSE,13332,0.072627795,8694804
1,192,None,13332,0.070952498,8694804
1,384,TRUE,13332,0.080505177,19334676
1,384,FALSE,13332,0.080436194,24454164
1,384,None,13332,0.08060513,24454164
1,576,TRUE,13332,0.109887777,39612180
1,576,FALSE,13332,0.111737925,47291412
1,576,None,13332,0.111677945,47291412
1,768,TRUE,13332,0.187860561,66967572
1,768,FALSE,13332,0.358332508,77206548
1,768,None,13332,0.459231789,77206548
1,960,TRUE,13332,0.715832996,101400852
1,960,FALSE,13332,0.7322206,114199572
1,960,None,13332,0.736597702,114199572
3,192,TRUE,5338,0.078398956,4592218
3,192,FALSE,5338,0.089370712,5617114
3,192,None,5338,0.086795328,5617114
3,384,TRUE,5338,0.14596071,16256986
3,384,FALSE,5338,0.156908676,18306778
3,384,None,5338,0.15873523,18306778
3,576,TRUE,5338,0.283425202,34999642
3,576,FALSE,5338,0.291328386,38074330
3,576,None,5338,0.290918072,38074330
3,768,TRUE,5338,0.466564835,60820186
3,768,FALSE,5338,0.462145122,64919770
3,768,None,5338,0.464724924,64919770
3,960,TRUE,5338,0.463387587,93718618
3,960,FALSE,5338,0.461538422,98843098
3,960,None,5338,0.46021682,98843098
5,192,TRUE,3600,0.087501167,4256784
5,192,FALSE,3600,0.084664446,4947984
5,192,None,3600,0.089138523,4947984
5,384,TRUE,3600,0.150352548,15587856
5,384,FALSE,3600,0.157764877,16970256
5,384,None,3600,0.15709622,16970256
5,576,TRUE,3600,0.281797442,33996816
5,576,FALSE,3600,0.28752434,36070416
5,576,None,3600,0.28588218,36070416
5,768,TRUE,3600,0.456609542,59483664
5,768,FALSE,3600,0.455986601,62248464
5,768,None,3600,0.434887296,62248464
5,960,TRUE,3600,0.457309658,92048400
5,960,FALSE,3600,0.455030651,95504400
5,960,None,3600,0.447358587,95504400